amfi_code,HHI,scheme_name
100016,0.18058807999999998,HDFC Top 100 Fund - Regular Plan - Growth
100033,0.22764743999999998,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.18004225000000001,ABSL Frontline Equity Fund - Regular - Growth
101207,0.22272651000000002,ABSL Small Cap Fund - Regular - Growth
102885,0.18071201999999997,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.12402024,UTI Mid Cap Fund - Regular - Growth
102887,0.25138255,UTI Flexi Cap Fund - Regular - Growth
118632,0.20725894,Nippon India Large Cap Fund - Regular - Growth
118633,0.22120031999999998,Nippon India Large Cap Fund - Direct - Growth
118634,0.16029924,Nippon India Small Cap Fund - Regular - Growth
118635,0.23749677,Nippon India ETF Nifty 50 BeES
119092,0.29676908999999996,Axis Bluechip Fund - Regular - Growth
119093,0.18423319999999999,Axis Bluechip Fund - Direct - Growth
119094,0.17510024999999999,Axis Midcap Fund - Regular - Growth
119095,0.15958229000000002,Axis Small Cap Fund - Regular - Growth
119551,0.14249103999999999,SBI Bluechip Fund - Regular Plan - Growth
119552,0.22750834999999997,SBI Bluechip Fund - Direct Plan - Growth
119598,0.18808485000000003,SBI Small Cap Fund - Regular Plan - Growth
119599,0.2323612,SBI Small Cap Fund - Direct Plan - Growth
120503,0.1821675,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.22121302999999998,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.23869504,ICICI Pru Midcap Fund - Regular - Growth
120506,0.23146434,ICICI Pru Value Discovery Fund - Regular - Growth
120841,0.21589315000000003,Kotak Bluechip Fund - Regular - Growth
120842,0.16206189,Kotak Emerging Equity Fund - Regular - Growth
120843,0.13620616000000002,Kotak Flexicap Fund - Regular - Growth
125497,0.17241088,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.253155,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.20124815000000001,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.21808584999999997,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.25499194,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.18269533,DSP Top 100 Equity Fund - Regular - Growth
149323,0.24107663999999998,DSP Midcap Fund - Regular - Growth
149324,0.18870081999999996,DSP Small Cap Fund - Regular - Growth
