amfi_code,max_drawdown
100016,-0.22903637072854033
100025,-0.0954014531408075
100033,-0.33454004873840315
101206,-0.2988231402834415
101207,-0.355330285331958
101208,-0.06110552029686922
102885,-0.23503490261107363
102886,-0.27651922900261683
102887,-0.32639310456683424
118632,-0.33461742193014543
118633,-0.294298802467039
118634,-0.33988355735731646
118635,-0.2685556972608245
118636,-0.10083481625682245
119092,-0.24832777708829945
119093,-0.2550992167363012
119094,-0.38181569056093767
119095,-0.4984219558031021
119120,-0.10105521401683148
119551,-0.3720709094613869
119552,-0.29436095224058123
119598,-0.43390782877736134
119599,-0.4973716047799065
120503,-0.2982813699386675
120504,-0.2686916445510288
120505,-0.3777916702293329
120506,-0.3040183042115633
120507,-0.06388257820980014
120841,-0.3180091909346917
120842,-0.23472192218890986
120843,-0.36588602495616096
120844,-0.06363502868475912
125497,-0.26096257113007804
125498,-0.22471743335640748
148567,-0.4082315201190836
148568,-0.32466130785296965
148569,-0.28347021010523554
149322,-0.2600168867303505
149323,-0.4286999927255848
149324,-0.5235259853217533
