amfi_code,period_years,cagr,scheme_name,fund_house
100016,1,-0.0501403882937963,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100016,3,0.013411766546229442,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100016,5,0.02472229491293243,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100025,1,0.04476846617055408,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100025,3,0.03557381336955978,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100025,5,0.03932867857285216,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100033,1,0.5512744759356554,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
100033,3,0.32116889121865233,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
100033,5,0.26474378536907883,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
101206,1,0.48165400677753123,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101206,3,0.2842681515042138,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101206,5,0.19917169807297763,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,1,-0.300415999234944,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,3,-0.027768451721876475,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,5,0.05592949724232987,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,1,0.07067357670414043,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,3,0.06302182379477639,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,5,0.05488580743284999,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
102885,1,0.21208397991313555,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102885,3,0.2096329515440276,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102885,5,0.1512998892756261,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102886,1,-0.17259410680343223,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102886,3,0.006723080181077368,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102886,5,0.003552795699234501,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102887,1,0.12257313506872891,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
102887,3,0.23734073851756854,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
102887,5,0.15870604020920842,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118632,1,0.3462815511279027,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118632,3,0.220631600153959,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118632,5,0.19019438211398954,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118633,1,0.25960924604156,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118633,3,0.1884374864045868,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118633,5,0.13208621366264706,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118634,1,0.09420314433106247,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118634,3,0.057438997426533245,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118634,5,0.18099153843431348,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118635,1,0.24977607987535544,Nippon India ETF Nifty 50 BeES,Nippon India MF
118635,3,0.2031613654161497,Nippon India ETF Nifty 50 BeES,Nippon India MF
118635,5,0.15663053624124723,Nippon India ETF Nifty 50 BeES,Nippon India MF
118636,1,0.10031572609659767,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
118636,3,0.03847387371369604,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
118636,5,0.042515818254970084,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
119092,1,0.018788251168618375,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119092,3,0.011438372275631492,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119092,5,0.049221675913253105,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119093,1,0.17446892916453027,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119093,3,0.17801074477618917,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119093,5,0.06499870794432416,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119094,1,0.20084165780574392,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119094,3,0.33540617756970903,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119094,5,0.24407575661595793,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119095,1,-0.47501430431936476,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119095,3,-0.13537033569311396,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119095,5,0.015485157936559135,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119120,1,0.06846633220976717,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119120,3,0.059684275156921984,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119120,5,0.05123466924546749,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119551,1,0.7155077782319734,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119551,3,0.3104244955104405,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119551,5,0.22712463089317203,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119552,1,0.09523891889754821,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119552,3,0.14670891507490924,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119552,5,0.1650815185591301,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,1,0.9436435306810651,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119598,3,0.27413950321090197,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119598,5,0.2500421632366874,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119599,1,0.11215259345514328,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
119599,3,-0.03735466687388078,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
119599,5,0.013759174905837002,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120503,1,0.0437658935949381,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120503,3,0.12610161100924389,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120503,5,0.1398400061035241,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120504,1,0.19885894733156184,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120504,3,0.3144700720556841,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120504,5,0.19599610993965744,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120505,1,0.3264029034181979,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120505,3,0.3471720323483367,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120505,5,0.2677481043857479,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,1,0.4665270786576112,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120506,3,0.1602955813405207,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120506,5,0.1346673740386375,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120507,1,0.07264172856657392,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120507,3,0.07370417540304208,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120507,5,0.060803479700272556,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120841,1,0.09425956053044948,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120841,3,0.16050247543963447,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120841,5,0.11412169581751774,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120842,1,0.10067266100580952,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120842,3,0.059915257921177245,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120842,5,0.03773667734027297,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120843,1,0.39143349382762493,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120843,3,0.32733844186756045,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120843,5,0.2950381824625232,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
