amfi_code,n_days,cumulative_return,annualized_return
100016,1798,1.1298763708904533,0.017261452980741776
100025,1798,1.212731212990656,0.027401232317294077
100033,1798,3.2360317229188005,0.17891151970927988
101206,1798,2.479744012973095,0.1357385822357169
101207,1798,1.3127275808698728,0.03887393132920791
101208,1798,1.3062528366776807,0.03815424298008896
102885,1798,2.0227504873105477,0.10377249588286763
102886,1798,1.017890651312729,0.002488402002745138
102887,1798,2.0886532904065453,0.10874353872048115
118632,1798,2.3883033071058635,0.129773559432383
118633,1798,1.8595056759808783,0.09083133288357659
118634,1798,2.297385787146307,0.12364469221277141
118635,1798,2.070013938063731,0.10735141216924804
118636,1798,1.231440028925486,0.029608068503365725
119092,1798,1.2715582811015926,0.03424475238485036
119093,1798,1.3700783525050417,0.04511878008645942
119094,1798,2.98012262893591,0.16537750496619763
119095,1798,1.0798611111111114,0.010826694529517233
119120,1798,1.2838029711153351,0.035634880071303776
119551,1798,2.782552498021138,0.15422714529244397
119552,1798,2.1467504665715262,0.1130151788542646
119598,1798,3.052272535170464,0.16929133924197504
119599,1798,1.0707152513312566,0.009622404738861778
120503,1798,1.9240638450081569,0.09606166416563666
120504,1798,2.4470837631273286,0.1336300790338114
120505,1798,3.2746497020676126,0.1808733044348787
120506,1798,1.8808009574439029,0.09257364488070152
120507,1798,1.3433051454342118,0.04223202902973244
120841,1798,1.7165764800308798,0.07867195108359426
120842,1798,1.20347156281098,0.026298142160082527
120843,1798,3.642611597463569,0.1986302373595179
120844,1798,1.3280904317775193,0.04056942468968505
125497,1798,2.150442517305052,0.11328326671144029
125498,1798,1.658475502583968,0.07347882837958508
148567,1798,3.1094643465869054,0.1723376336014828
148568,1798,2.3944122116813413,0.13017813442336945
148569,1798,3.038925723364601,0.16857337021126018
149322,1798,1.9573798402221114,0.09870205723499992
149323,1798,3.0630682345372833,0.16987010337833186
149324,1798,3.9040820777060445,0.21033270278883154
