amfi_code,alpha,beta
100016,0.254682185154013,-0.07041956562265161
100025,0.029181447691498517,-0.0737797053175713
100033,0.36650353221265985,-0.14700551876476717
101206,0.32491199879488336,-0.06631382525565938
101207,0.23114610876522781,-0.035327653498556696
101208,0.03640965754289993,-0.03215725739236763
102885,0.28066599891504507,-0.09964218760399564
102886,0.09474245071181761,0.055261180774082014
102887,0.5109042264969741,0.0210987828556521
118632,0.26699223512656955,-0.24326217356115812
118633,0.2518340094403254,-0.0768178634777877
118634,0.4266896583709043,0.24889690625958108
118635,0.28181339414994816,-0.2251877015951047
118636,0.002964355826827966,0.02658643253467279
119092,0.11689316786073081,-0.14689584526472438
119093,0.28825863862653195,-0.09907282508910571
119094,0.5351845355067028,0.016032841754598917
119095,0.2669092275220848,-0.3109495008640229
119120,0.026417939535854335,-0.07065283253875658
119551,0.5793384263248054,-0.23118528208729977
119552,0.26724610838153323,-0.2032321544909005
119598,0.5568140645991769,-0.08498937018581956
119599,0.36088782714767526,0.4617584727436459
120503,0.21934313754173584,0.06409337568972119
120504,0.36281765230075047,-0.17908292852352325
120505,0.49838372991239577,-0.16948470437723875
120506,0.27470859951121873,-2.8191131659901362e-06
120507,0.048735509542650525,-0.03516540138601818
120841,0.34036474449049947,-0.23855347372875296
120842,0.15474182602106673,-0.1113400060465443
120843,0.6018333697055032,-0.23624546693692106
120844,0.04069857104140689,-0.040027300373756534
125497,0.3832963559700492,-0.1876893375080673
125498,0.2524148419073673,-0.298707155304957
148567,0.5897244464766217,0.1760221888387501
148568,0.5079633480565878,-0.13745827119175313
148569,0.5589913493903518,-0.10325793064557946
149322,0.3339255392641977,-0.1381392484702557
149323,0.3597812601786568,-0.1978232722900581
149324,1.0492887853508575,-0.19852933455942948
